id,nome,acepcao,exemplo,exemploLibras,categoria,representacao,configuracaoMao
228,São Bernardo Do Campo,"Cidade Paulista localizada na região do ABC Paulista, próxima à cidade de São Paulo",São Bernardo do Campo é  uma das maiores da região metropolitana de São Paulo,REGIÃO METROPOLITANA SÃO PAULO CIDADE SÃO BERNARDO DO CAMPO MAIOR É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/xUm50AdLgDI],[[2;61;51a]]
229,São José Dos Campos,Cidade Paulista localizada na região do Vale do Paraíba,São José dos Campos é um centro tecnológico e aeroespacial,CENTRO TECNOLÓGICO TAMBÉM AEROESPACIAL CIDADE SÃO JOSÉ DOS CAMPOS É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/OW76y2HEUKQ],[[32]]
230,Mauá,Cidade Paulista localizada na região Metropolitana de São Paulo,Mauá é uma cidade  com uma economia diversificada,ECONOMIA DIVERSIFICADA CIDADE MAUÁ TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/RZSiwuAqsbo],[[60]]
231,Mogi Das Cruzes,Cidade Paulista localizada na região Metropolitana de São Paulo,Mogi das Cruzes é uma cidade histórica e moderna que cresce rapidamente,CIDADE HISTÓRICA TAMBÉM MODERNA CIDADE MOGI DAS CRUZES RÁPIDO CRESCER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/twnSVXJsFhA],[[60;51a;2]]
232,Jundiaí,Cidade Paulista localizada na região Metropolitana de Campinas,Jundiaí é famosa por sua produção de uvas,PRODUÇÃO UVAS CIDADE JUNDIAÍ FAMA TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/aKDo0ObPdFs],[[38;49]]
233,Bauru,Cidade Paulista localizada na região Centro-Oeste do estado,Bauru é famosa por seu sanduíche de presunto,SANDUÍCHE PRESUNTE CIDADE BAURU FAMA TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/OCSNmyLgwaE],[[8a]]
234,Franca,Cidade Paulista localizada na região Norte do estado,Franca é uma cidade que se destaca na produção de calçados.,PRODUÇÃO DE CALÇADOS CIDADE FRANCA DESTACAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/mRaaxMDkyZ0;https://youtu.be/Df6x7Uv7vro],[[54];[1;64]]
235,Taubaté,Cidade Paulista localizada na região do Vale do Paraíba,Monteiro Lobato nasceu em Taubaté,M-O-N-T-E-I-R-O  L-O-B-A-T-O CIDADE TAUBATÉ NASCER  ,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/kzhUICEOK00],[[61]]
236,Taboão Da Serra,Cidade Paulista localizada na região Metropolitana de São Paulo,Taboão da Serra combina urbanização e áreas verdes.,URBANIZAÇÃO TAMBÉM ÁREAS VERDES CIDADE TABOÃO DA SERRA COMBINAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/9vZNYZffxpI],[[56]]
237,Embu Das Artes,Cidade Paulista localizada na região Metropolitana de São Paulo,Embu das Artes tem um mercado de arte e artesanato vibrante,MERCADO DE ARTE TAMBÉM ARTESANATO VIBRANTE CIDADE EMBU DAS ARTES TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/jH2AWl-riU4],[[6;62;63]]
238,Indaiatuba,Cidade Paulista localizada na região Metropolitana de Campinas,Indaiatuba é conhecida por sua economia diversificada,ECONOMIA DIVERSIFICADA CIDADE INDAIATUBA TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/rrWSHNe1W4o],[[61;39]]
239,Itapevi,Cidade Paulista localizada na região Metropolitana de São Paulo,Itapevi tem uma cidade que cresce rapidamente,CIDADE ITAPEVI RÁPIDO CRESCER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/lNNrwSOPTr8],[[38]]
240,Jacareí,Cidade Paulista localizada na região do Vale do Paraíba,Jacareí é uma cidade industrial e tecnológica na Região do Vale do Paraíba,REGIÃO DO VALE DO PARAÍBA CIDADE INDUSTRIAL TAMBÉM TECNOLÓGICA CIDADE JACAREÍ É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/sdW0uvQx2GM],[[46a]]
241,Araçatuba,Cidade Paulista localizada na região Noroeste do estado,Araçatuba é um centro agrícola com destaque para a produção de grãos e frutas,CENTRO AGRÍCOLA PRODUÇÃO GRÃOS TAMBÉM MILHO CIDADE ARAÇATUBA DESTACAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/zWJKDEQPmiQ],[[12]]
242,Itapecerica Da Serra,Cidade Paulista localizada na região Metropolitana de São Paulo,Itapecerica da Serra é uma cidade que valoriza sua natureza e belezas naturais,NATUREZA TAMBÉM BELEZAS NATURAIS CIDADE ITAPECERICA DA SERRA VALORIZAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/M941qZzVfbg],[[38;63]]
243,Pindamonhangaba,Cidade Paulista localizada na região do Vale do Paraíba,Pindamonhangaba é uma cidade que combina desenvolvimento industrial e qualidade de vida,DESENVOLVIMENTO INDUSTRIAL TAMBÉM QUALIDADE DE VIDA CIDADE PINDAMONHANGABA COMBINAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/ST0ID9OfFAo],[[11]]
244,Jaú,Cidade Paulista localizada na região Centro-Oeste do estado,"Jaú tem fama de ser a  ""Capital do Calçado Feminino""",CAPITAL DO CALÇADO FEMININO CIDADE JAÚ FAMA TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/8zJK-nNBXhs],[[8b]]
245,Registro,Cidade Paulista localizada na região do Vale do Ribeira,"Registro é uma cidade que se destaca por sua produção agrícola, principalmente de bananas",PRODUÇÃO AGRÍCOLA PRINCIPALMENTE BANANAS CIDADE REGISTRO DESTACAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/3nZJnaUt3Dk],[[25;2]]
246,Pradópolis,Cidade Paulista localizada na região Norte do estado,Pradópolis é uma cidade que se destaca na produção de cana-de-açúcar e etanol,PRODUÇÃO DE CANA-DE-AÇUCAR TAMBÉM ETANOS CIDADE PRADÓPOLIS DESTACAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/C10nH1bDrZI],[[12;2]]
247,Capela Do Alto,Cidade Paulista localizada na região Metropolitana de Sorocaba,Capela do Alto é uma cidade com forte influência da imigração italiana,FORTE INFLUÊNCIA IMAGRAÇÃO ITALIANA CIDADE CAPELA DO ALTO TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/Bwa14ZZoHQg],[[51a;1]]
248,Caconde,Cidade Paulista localizada na região Central do estado,Caconde é uma cidade que preserva suas raízes históricas e culturais.,RAÍZES HISTÓRICAS TAMBÉM CULTURAIS CIDADE CACONDE PRESERVAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/AFQJXCLMR8o],[[51a]]
249,Cesario Lange,Cidade Paulista localizada na região Metropolitana de Sorocaba,Cesário Lange é uma cidade que abraça sua herança rural,HERANÇA RURAL CIDADE CESÁRIO LANGE TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/XOKzoua6QKA],[[51a;8a]]
250,Baddy Bassitt,Cidade Paulista localizada na região Norte do estado,Bady Bassitt é localizada próxima ao Rio São José dos Dourados,PRÓXIMA RIO SÃO JOSÉ DOS DOURADOS CIDADE BADY BASSITT LOCALIZAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/oumo48YG5nA],[[63]]
251,Buritama,Cidade Paulista localizada na região Noroeste do estado,Buritama é conhecida por sua produção de cana-de-açúcar e pecuária,PRODUÇÃO CANA-DE-AÇUCAR CIDADE BURITAMA CONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/wlPWTqlb0S0],[[63]]
252,Pinhalzinho,Cidade Paulista localizada na região Norte do estado.,Pinhalzinho tem o nome derivado da abundância de araucárias na região,REGIÃO NOME DERIVADO ABUNDÂNCIA ARAUCÁRIAS CIDADE PINHALZINHO TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/NTh6juYqdso],[[64;62]]
253,Cananéia,"Cidade Paulista localizada no litoral do estado, próxima à cidade de Santos",Cananéia é uma das cidades mais antigas do Brasil,BRASIL MAIS ANTIGAS CIDADE CANANÉIA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/tK08eLD_zcY],[[51a;63]]
254,Cardoso,Cidade Paulista localizada na região Noroeste do estado,Cardoso prospera na produção de cana-de-açúcar e grãos,PRODUÇÃO CANA-DE-AÇUCAR TAMBÉM GRÃOS CIDADE CARDOSO PROSPERAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/3b8u9tQuwwU],[[51b;12]]
255,Nhandeara,Cidade Paulista localizada na região Noroeste do estado,Handeara tem destaque para a produção de soja e milho,PRODUÇÃO SOJA TAMBÉM MILHO CIDADE HANDEARA DESTACAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/tHfWsK85iKk],[[24;11]]
256,Divinolândia,Cidade Paulista localizada na região Central do estado,Divinolândia está situada na região montanhosa de São Paulo,REGIÃO MONTANHOSAS DE SÃO PAULO CIDADE DIVINOLANDIA SITUAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/AvZV6k0gqQE],[[12]]
257,Cedral ,Cidade Paulista localizada na região Norte do estado,Cedral é uma cidade localizada na Microrregião de São José do Rio Preto,MICRORREGIÃO SÃO JOSÉ DO RIO PRETO CIDADE CEDRAL LOCALIZAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/rKtsVCCA-aw],[[51a;12]]
258,Vista Alegre Do Alto,Cidade Paulista localizada na região Norte do estado,Vista Alegre do Alto é uma cidade que destaca-se na produção de café e cana-de-açúcar,PRODUÇÃO CAFÉ TAMBÉM CANA-DE-AÇUCAR CIDADE VISTA ALEGRE DO ALTO DESTACAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/geYnHvXzFDQ],[[32]]
